catchment,water_body,description
Hậu Giang,Kinh Tân Lập,"Kinh Tân Lập (tên khác: Kinh Ngay) là một con kênh đổ ra Sông Mỹ Thanh. Kênh có chiều dài 424 km và diện tích lưu vực là km². Kinh Tân Lập chảy qua các tỉnh Hậu Giang, Sóc Trăng."
Hậu Giang,Kênh Ngay,"Kênh Ngay (tên khác: Kênh số 1) là một con sông đổ ra Rạch Mọp. Sông có chiều dài 22 km và diện tích lưu vực là km². Kênh Ngay chảy qua các tỉnh Sóc Trăng, Hậu Giang."
Hậu Giang,Sông Ngã Ba Cái Tàu,"Sông Ngã Ba Cái Tàu là một con sông đổ ra Sông Cái Lớn. Sông có chiều dài 72 km và diện tích lưu vực là km². Sông Ngã Ba Cái Tàu chảy qua các tỉnh Bạc Liêu, Hậu Giang, Kiên Giang."
Hậu Giang,Sông Nước Đục,"Sông Nước Đục là một con sông đổ ra Sông Cái Lớn. Sông có chiều dài 61 km và diện tích lưu vực là km². Sông Nước Đục chảy qua các tỉnh Hậu Giang, Kiên Giang."
Hậu Giang,Sông Nước Trong (Long Mỹ),"Sông Nước Trong là một sông chảy ở huyện Long Mỹ tỉnh Hậu Giang và huyện Gò Quao tỉnh Kiên Giang, Việt Nam."
Hậu Giang,Kênh Trà Ban,"Kênh Trà Ban (tên khác: Kênh Xáng Chùm) là một con kênh đổ ra Kênh Xáng Quản Lộ - Phụng Hiệp. Kênh có chiều dài 13 km. Kênh Trà Ban chảy qua các tỉnh Sóc Trăng, Hậu Giang."
Hậu Giang,Kênh Xáng Quản Lộ – Phụng Hiệp,"Kênh Xáng Quản Lộ – Phụng Hiệp là một con kênh đổ ra Sông Gành Hào. Kênh có chiều dài 121 km. Kênh Xáng Quản Lộ – Phụng Hiệp chảy qua các tỉnh Hậu Giang, Sóc Trăng, Bạc Liêu, Cà Mau."
Hòa Bình,Phụ lưu số 1,"Phụ lưu số 1 là một con sông đổ ra Sông Thanh Hà. Sông có chiều dài 12 km và diện tích lưu vực là km². Phụ lưu số 1 chảy qua các tỉnh Hà Nội, Hòa Bình."
Hòa Bình,Phụ lưu số 9,"Phụ lưu số 9 là một con sông đổ ra Sông Bùi. Sông có chiều dài 13 km và diện tích lưu vực là 20 km². Phụ lưu số 9 chảy qua các tỉnh Hà Nội, Hoà Bình."
Hòa Bình,Suối Yên Trình,"Phụ lưu số 10 (Suối Yên Trình) là một con sông đổ ra Sông Bùi. Sông có chiều dài 10 km và diện tích lưu vực là 23 km². Phụ lưu số 10 (Suối Yên Trình) chảy qua các tỉnh Hà Nội, Hoà Bình."
Hòa Bình,Sông Bến Gò,"Sông Bến Gò là một con sông đổ ra Sông Bùi. Sông có chiều dài 22 km và diện tích lưu vực là 83 km². Sông Bến Gò chảy qua các tỉnh Hà Nội, Hoà Bình."
Hòa Bình,Sông Bùi,Sông Bùi là một con sông đổ ra Sông Đáy.
Hòa Bình,Sông Bôi,"Sông Bôi là một con sông chảy qua 2 tỉnh Hòa Bình và Ninh Bình, sông là nhánh chính đổ vào sông Hoàng Long nên đôi khi nó cũng được gọi là sông Hoàng Long. Có 2 nguồn nước khoáng đổ vào thượng lưu và hạ lưu sông Bôi là nước khoáng Kim Bôi ( Hòa Bình và nước khoáng Kênh Gà ( Ninh Bình )."
Hòa Bình,Sông Bưởi,"Sông Bưởi hay còn gọi là sông Sòi, phụ lưu của sông Mã."
Hòa Bình,Sông Can Bầu,"Sông Can Bầu (hay sông Canh Bầu, sông Đập ) là một phụ lưu của Sông Bôi (đồng thời cũng là phụ lưu cấp 2 của sông Hoàng Long, phụ lưu cấp 3 của sông Đáy ). Sông có chiều dài 31 km và diện tích lưu vực là 94 km². Sông Can Bầu chảy qua các tỉnh Hoà Bình dài 15,5 km và Ninh Bình dài 14,5 km."
Hòa Bình,Sông Cầu Đầm,"Sông Cầu Đầm là một con sông đổ ra Sông Bùi. Sông có chiều dài 27 km và diện tích lưu vực là 107 km². Sông Cầu Đầm chảy qua các tỉnh Hà Nội, Hoà Bình."
Hòa Bình,Suối Cái,"Suối Cái là một con suối đổ ra Ngòi Lạt. Suối có chiều dài 16 km và diện tích lưu vực là 48 km². Suối Cái chảy qua các tỉnh Phú Thọ, Hoà Bình."
Hòa Bình,Suối Cảng,"Suối Cảng là một con suối đổ ra Suối Tân. Suối có chiều dài 16 km và diện tích lưu vực là 67 km². Suối Cảng chảy qua các tỉnh Sơn La, Hoà Bình."
Hòa Bình,Suối Dộc Công,"Phụ lưu số 8 (Suối Dộc Công) là một con sông đổ ra Sông Bùi. Sông có chiều dài 12 km và diện tích lưu vực là 12 km². Phụ lưu số 8 (Suối Dộc Công) chảy qua các tỉnh Hà Nội, Hoà Bình."
Hòa Bình,Sông Đà,"Sông Đà (còn gọi là sông Bờ hay Đà Giang ) là phụ lưu lớn nhất của sông Hồng. Sông dài 927 km (có tài liệu ghi 983 km hoặc 910 km), diện tích lưu vực là 52.900 km². Dòng chính bắt nguồn từ núi Vô Lượng, tỉnh Vân Nam, Trung Quốc, chảy theo hướng Tây Bắc - Đông Nam để rồi nhập với sông Hồng ở Phú Thọ."
Hòa Bình,Suối Khoang,"Suối Khoang là một con suối đổ ra Sông Đà. Suối Khoang chảy qua các tỉnh Sơn La, Hoà Bình. Suối có chiều dài 30 km và diện tích lưu vực là 210 km²."
Hòa Bình,Sông Lạng,"Sông Lạng là một con sông chảy qua 2 tỉnh Hòa Bình và Ninh Bình, cùng với sông Bôi là hai nhánh chính đổ vào sông Hoàng Long. Có nhiều hồ nước lớn thuộc lưu vực sông Lạng như hồ Luông Bai ( Hòa Bình ) và hồ Yên Quang ( Ninh Bình )."
Hòa Bình,Ngòi Lạt,"Ngòi Lạt là một con sông đổ ra Sông Đà. Ngòi Lạt chảy qua các tỉnh Phú Thọ, Hoà Bình."
Hòa Bình,Sông Ngang,"Sông Ngang (tên khác: Suối Sát) là một con sông đổ ra Sông Bưởi. Sông có chiều dài 20 km và diện tích lưu vực là 89 km². Sông Ngang chảy qua các tỉnh Hoà Bình, Thanh Hoá."
Hòa Bình,Suối So Lo,"Phụ lưu số 70 (Suối So Lo) là một con sông đổ ra Sông Đà. Sông có chiều dài 21 km và diện tích lưu vực là 110 km². Phụ lưu số 70 (Suối So Lo) chảy qua các tỉnh Sơn La, Hoà Bình."
Hòa Bình,Sông Thanh Hà,"Sông Thanh Hà là một con sông đổ ra Sông Đáy. Sông có chiều dài 19 km và diện tích lưu vực là km². Sông Thanh Hà chảy qua các tỉnh Hà Nội, Hòa Bình."
Khánh Hòa,Sông Cái Nha Trang,"Sông Cái Nha Trang, còn có tên là sông Phú Lộc, sông Cù, là sông lớn nhất tỉnh Khánh Hòa."
Khánh Hòa,Sông Cái Ninh Hòa,"Sông Cái Ninh Hòa (tên khác: Sông Dinh) là một con sông đổ ra Biển Đông. Sông có chiều dài 53 km và diện tích lưu vực là 916 km². Sông Cái Ninh Hoà chảy qua các tỉnh Đắk Lắk, Khánh Hòa."
Khánh Hòa,Sông Cạn,"Sông Cạn (tên khác: Suối Rùa) là một con sông đổ ra Biển Đông. Sông có chiều dài 20 km và diện tích lưu vực là 88 km². Sông Cạn chảy qua các tỉnh Khánh Hoà, Ninh Thuận."
Khánh Hòa,Sông Chò,"Sông Chò, còn viết là sông Trò, là một con sông đổ ra Sông Cái Nha Trang. Sông chảy qua các tỉnh Đắk Lắk và Khánh Hoà, Việt Nam."
Khánh Hòa,Sông Dinh (Ninh Thuận),"Sông Dinh, còn có tên là sông Tô Hạp, sông Cái Phan Rang, là một con sông đổ ra Biển Đông. Sông Dinh chảy qua các tỉnh Khánh Hoà và Ninh Thuận, Việt Nam."
Khánh Hòa,Suối Ea Sa,"Suối Ea Sa là một con suối đổ ra Sông Cái Ninh Hoà. Suối Ea Sa chảy qua các tỉnh Đắk Lắk, Khánh Hoà."
Khánh Hòa,Sông Giang,"Sông Giang là phụ lưu cấp 1 của sông Cái, chảy ở huyện Khánh Vĩnh tỉnh Khánh Hòa, Việt Nam."
Khánh Hòa,Sông Hàm Leo,Sông Hàm Leo là sông đổ ra sông Tô Hạp (tức Sông Dinh Ninh Thuận ) trong lưu vực Sông Cái Phan Rang. Sông Hàm Leo chảy ở huyện Khánh Sơn tỉnh Khánh Hoà và huyện Bác Ái tỉnh Ninh Thuận.
Khánh Hòa,Sông Trâu,"Sông Trâu (tên khác: Suối Dầu, Sông Võ Tá) là một con sông đổ ra Biển Đông. Sông có chiều dài 27 km và diện tích lưu vực là 220 km². Sông Trâu chảy qua các tỉnh Khánh Hoà, Ninh Thuận."
Kiên Giang,Sông Ba Voi,"Sông Ba Voi là một con sông đổ ra Sông Cái Lớn. Sông có chiều dài 17 km và diện tích lưu vực là km². Sông Ba Voi chảy qua các tỉnh Hậu Giang, Kiên Giang."
Kiên Giang,Kênh Cạnh Đền – Phó Sinh,"Kênh Cạnh Đền – Phó Sinh là một con kênh đổ ra Kênh Xáng Quản Lộ – Phụng Hiệp. Sông có chiều dài 21 km và diện tích lưu vực là km². Kênh Cạnh Đền – Phó Sinh chảy qua các tỉnh Bạc Liêu, Kiên Giang."
Kiên Giang,Kênh Chắc Băng,"Kênh Chắc Băng (tên khác: Kênh Xáng Vĩnh Thuận) là một con sông đổ ra Sông Ông Đốc. Sông có chiều dài 33 km. Kênh Chắc Băng chảy qua các tỉnh Cà Mau, Kiên Giang."
Kiên Giang,Kênh Chưng Bầu,Kênh Chưng Bầu là một con kênh đổ ra Sông Cái Bé. Kênh có chiều dài 37 km. Kênh Chưng Bầu chảy qua tỉnh Kiên Giang và thành phố Cần Thơ.
Kiên Giang,Sông Cái Lớn,Sông Cái Lớn là một con sông lớn tại tỉnh Kiên Giang.
Kiên Giang,Sông Cái Tàu,"Sông Cái Tàu (tên khác: Rạch Tiểu Dừa) là một con sông thuộc huyện U Minh, tỉnh Cà Mau, bắt nguồn từ con Sông Trẹm (địa phận Tắc Thủ) chạy dài đến ngã tư rạch Tiểu Dừa tiếp giáp xã Vân Khánh Tây, huyện An Minh, tỉnh Kiên Giang rồi đổ ra Vịnh Thái Lan. Sông có chiều dài 42 km, chảy qua các xã Khánh An, Nguyễn Phích, thị trấn U Minh, Khánh Hòa, Khánh Thuận và điểm cuối là Khánh Tiến."
Kiên Giang,Kênh Đờn Dang,"Kênh Đờn Dang là một con kênh đổ ra Kênh Ông Hiển. Kênh có chiều dài 42 km. Kênh Đờn Dang chảy qua các tỉnh Kiên Giang, An Giang, Cần Thơ."
Kiên Giang,Sông Giang Thành,"Sông Giang Thành là một con sông ngắn ở phía tây bắc tỉnh Kiên Giang, Việt Nam."
Kiên Giang,Kênh 10,"Kênh 10 là một con sông đổ ra Sông Hậu. Sông có chiều dài 56 km và diện tích lưu vực là km². Kênh 10 chảy qua các tỉnh Kiên Giang, An Giang."
Kiên Giang,Kênh 18,"Kênh 18 (tên khác: Kênh T4) là một con sông đổ ra Kênh Rạch Giá - Hà Tiên. Sông có chiều dài 27 km và diện tích lưu vực là km². Kênh 18 chảy qua các tỉnh Kiên Giang, An Giang."
Kiên Giang,Kênh Ba Thê,"Kênh Ba Thê là một con sông đổ ra Sông Hậu. Sông có chiều dài 57 km và diện tích lưu vực là km². Kênh Ba Thê chảy qua các tỉnh Kiên Giang, An Giang."
Kiên Giang,Kênh Cái Sắn,"Kênh Cái Sắn (tên gọi khác là Kênh Rạch Sỏi – Vàm Cống hay Sông Rạch Sỏi ) là một kênh đào chạy dài từ Sông Hậu đến vùng biển Vịnh Thái Lan. Kênh này dài khoảng 58 km, và chạy qua tỉnh An Giang, thành phố Cần Thơ và tỉnh Kiên Giang. Trước đây, kênh này còn được gọi là kênh Rạch Sỏi. Có hai cách giải thích nguồn gốc của tên Cái Sắn. Cách giải thích thứ nhất dựa theo tiếng Phù Nam cổ. Từ ""Cái"" tạm hiểu là ""sông nhỏ"", bắt nguồn hay chảy ra một con sông lớn hơn ( Hậu Giang ). Khi kênh Cái Sắn được đào, trên Vàm Cái Sắn trước đó có cây sắn thuyền. Theo cách giải thích thứ hai, từ Cái Sắn là cách đọc trại của Cà Xăng, tên một loại cây trong tiếng Khmer."
Kiên Giang,Kênh Ngã Ba,"Kênh Ngã Ba là một con kênh đổ ra Kênh Vĩnh Tế. Sông có chiều dài 31 km. Kênh Ngã Ba chảy qua các tỉnh Kiên Giang, An Giang."
Kiên Giang,Kênh Ninh Phước 2,"Kênh Ninh Phước 2 là một con sông đổ ra Kênh Tri Tôn. Sông có chiều dài 17 km và diện tích lưu vực là km². Kênh Ninh Phước 2 chảy qua các tỉnh An Giang, Kiên Giang."
Kiên Giang,Rạch Ngã Ba Đình,"Rạch Ngã Ba Đình là một con sông đổ ra Sông Ngã Ba Cái Tàu. Sông có chiều dài 35 km và diện tích lưu vực là km². Rạch Ngã Ba Đình chảy qua các tỉnh Bạc Liêu, Kiên Giang."
Kiên Giang,Sông Ngã Ba Cái Tàu,"Sông Ngã Ba Cái Tàu là một con sông đổ ra Sông Cái Lớn. Sông có chiều dài 72 km và diện tích lưu vực là km². Sông Ngã Ba Cái Tàu chảy qua các tỉnh Bạc Liêu, Hậu Giang, Kiên Giang."
Kiên Giang,Sông Nước Đục,"Sông Nước Đục là một con sông đổ ra Sông Cái Lớn. Sông có chiều dài 61 km và diện tích lưu vực là km². Sông Nước Đục chảy qua các tỉnh Hậu Giang, Kiên Giang."
Kiên Giang,Sông Nước Trong (Long Mỹ),"Sông Nước Trong là một sông chảy ở huyện Long Mỹ tỉnh Hậu Giang và huyện Gò Quao tỉnh Kiên Giang, Việt Nam."
Kiên Giang,Sông Ô Môn,Sông Ô Môn (tên khác: kênh Bà Đầm ) là một con sông đổ ra sông Hậu. Sông có chiều dài 52 km. Sông Ô Môn chảy qua tỉnh Kiên Giang và thành phố Cần Thơ.
Kiên Giang,Sông Rạch Giá – Long Xuyên,"Sông Rạch Giá – Long Xuyên (tên khác: Sông Rạch Giá, Sông Thoại Sơn) là một con sông đổ ra Sông Hậu. Sông có chiều dài 68 km và diện tích lưu vực là km². Sông Rạch Giá – Long Xuyên chảy qua các tỉnh Kiên Giang, An Giang."
Kiên Giang,Sông Rạch Sỏi,"Sông Rạch Sỏi (tên khác: Kênh Rạch Sỏi-Vàm Cống) là một con sông đổ ra Vịnh Thái Lan. Sông có chiều dài 60 km và diện tích lưu vực là km². Sông Rạch Sỏi chảy qua các tỉnh Kiên Giang, An Giang, Cần Thơ."
Kiên Giang,Kênh Tám Chục Thước,"Kênh Tám Chục Thước (tên khác: Kênh 6) là một con kênh đổ ra Kênh Xáng Quản Lộ - Phụng Hiệp. Kênh có chiều dài 21 km. Kênh Tám Chục Thước chảy qua các tỉnh Bạc Liêu, Cà Mau, Kiên Giang."
Kiên Giang,Kênh Thị Đội,"Kênh Thị Đội là một con kênh đổ ra Sông Cửa Lớn. Kênh có chiều dài 27 km. Kênh Thị Đội chảy qua các tỉnh Cần Thơ, Kiên Giang."
Kiên Giang,Kênh Tri Tôn,"Kênh Tri Tôn (tên khác: Kênh Vĩnh Tre) là một con kênh đổ ra Sông Hậu. Kênh có chiều dài 63 km. Kênh Tri Tôn chảy qua các tỉnh Kiên Giang, An Giang."
Kiên Giang,Sông Thốt Nốt,"Sông Thốt Nốt là một con sông đổ ra Sông Hậu. Sông có chiều dài 53 km và diện tích lưu vực là km². Sông Thốt Nốt chảy qua các tỉnh Cần Thơ, Kiên Giang."
Kiên Giang,Kênh Thoại Hà,"Kênh Thoại Hà ( chữ Hán : 瑞河) còn có các tên: kênh Tam Khê, kênh Đông Xuyên hay Đông Xuyên Cảng đạo, nối rạch Long Xuyên (có khi gọi là sông, tên cũ là rạch Đông Xuyên, thuộc tỉnh An Giang ) với hệ thống thủy đạo ở Rạch Giá ( Kiên Giang ). Đây là một công trình thoát lũ đầu tiên của nhà Nguyễn ở đồng bằng sông Cửu Long, Việt Nam."
Kiên Giang,Sông Trẹm,"Sông Trẹm (còn gọi là sông Tràm Trẹm ) là một con sông dài khoảng 42 km, bắt nguồn từ ngã ba kênh Tân Bằng – Cán Gáo chảy về đến ngã ba sông Ông Đốc ngang qua huyện Thới Bình, tỉnh Cà Mau."
Kiên Giang,Kênh Vĩnh Tế,"Kênh Vĩnh Tế là một con kênh chảy qua địa phận hai tỉnh An Giang và Kiên Giang, thuộc vùng Đồng bằng sông Cửu Long. Kênh Vĩnh Tế cùng với kênh Nhà Lê là những kênh đào lớn nhất trong lịch sử Việt Nam thời quân chủ."
Kon Tum,Sông Ba,"Sông Ba (phần thượng lưu gọi là Ea Pa, Ia Pa hay Krông Pa, phần hạ lưu gọi là sông Đà Rằng ) là con sông lớn nhất vùng ven biển miền Trung, chảy qua 3 tỉnh miền Trung Việt Nam là Kon Tum, Gia Lai và Phú Yên với diện tích lưu vực 13.900 km²."
Kon Tum,Sông Đak Pơ Kei,"Sông Đắk Po Kei là một con sông đổ ra sông Đăk Bla. Sông có chiều dài 43 km và diện tích lưu vực là 300 km². Sông Đắk Po Kei chảy qua các tỉnh Kon Tum, Gia Lai."
Kon Tum,Sông Đăk Bla,"Sông Đăk Bla hay Krông B'Lah là phụ lưu hợp thành chính của Sông Sê San. Đăk Bla chảy qua các tỉnh Kon Tum, Gia Lai."
Kon Tum,Sông Đắk Lô,"Sông Đắk Lô là một con sông đổ ra Sông Trà Khúc. Sông Đắk Lô chảy qua các tỉnh Kon Tum và Quảng Ngãi, Việt Nam"
Kon Tum,Sông Đăk Pơ Ne,"Đăk Pơ Ne hay Đăk Pô Ne là phụ lưu hợp thành của dòng Đăk Bla thuộc hệ thống sông Sê San, chảy ở huyện Kon Plong tỉnh Kon Tum, Việt Nam."
Kon Tum,Sông Đắk R' Baye,"Sông Đắk R' Baye là một con sông đổ ra Sông Đắk Lô. Sông Đắk R' Baye chảy qua các tỉnh Kon Tum, Quảng Ngãi."
Kon Tum,Sông Đắk Rô Man,"Sông Đắk Rô Man là một con sông đổ ra Sông Đắk Drinh. Sông Đắk Rô Man chảy qua các tỉnh Kon Tum, Quảng Ngãi."
Kon Tum,Suối Đắk Xe Rack,"Suối Đắk Xe Rack là một con suối đổ ra Sông Đắk Lô. Suối Đắk Xe Rack chảy qua các tỉnh Kon Tum, Quảng Ngãi."
Kon Tum,Sông Đắk Tmeo,"Sông Đắk Tmeo hay Đăk T'Meo, còn gọi là suối Nước Meo, suối Ta Meo, là một phụ lưu của Đăk Đrinh trong hệ thống sông Trà Khúc. Đăk T'Meo chảy ở huyện Nam Trà My tỉnh Quảng Nam, huyện Kon Plông tỉnh Kon Tum và huyện Sơn Tây, tỉnh Quảng Ngãi, Việt Nam."
Kon Tum,Sông Đắk Xe Rong,"Sông Đắk Xe Rong là một con sông đổ ra Sông Đắk Lô. Sông Đắk Xe Rong chảy qua các tỉnh Kon Tum, Quảng Ngãi."
Kon Tum,Sông Đăk Pne,"Sông Đăk Pne là một con sông đổ ra Sông Đăk Pơ Ne. Sông có chiều dài 48 km và diện tích lưu vực là 291 km². Sông Đăk Pne chảy qua các tỉnh Kon Tum, Gia Lai."
Kon Tum,Sông Đăk Psi,"Đăk Psi là phụ lưu của krông Pô Kô, chảy ở vùng đất các huyện Tu Mơ Rông, Đăk Hà và Đăk Tô tỉnh Kon Tum, Việt Nam."
Kon Tum,Sông La Ê,"Sông La Ê là một con sông đổ ra sông Re trong hệ thống sông Trà Khúc. Sông La Ê chảy qua các huyện Kon Plông tỉnh Kon Tum và huyện Ba Tơ tỉnh Quảng Ngãi, Việt Nam."
Kon Tum,Sông Nước Chè,"Sông Nước Chè là một con sông đổ ra Đắk Mi, tên ở phần thượng nguồn của sông Vu Gia. Sông Nước Chè chảy qua các huyện Đăk Glei tỉnh Kon Tum và huyện Phước Sơn tỉnh Quảng Nam, Việt Nam."
Kon Tum,Suối Nước Long,"Suối Nước Long là một con suối đổ ra Sông Re. Suối Nước Long chảy qua các tỉnh Kon Tum, Quảng Ngãi, Việt Nam."
Kon Tum,Sê Kaman,"Sê Kaman hay Xe Kaman (còn viết là Sekaman, Xekaman ) là một phụ lưu quan trọng của sông Sekong ở đông nam Lào."
Kon Tum,Sông Côn,"Sông Côn còn gọi là sông Kôn hoặc sông Kone là dòng sông lớn nhất của tỉnh Bình Định, Việt Nam.."
Kon Tum,Sông Pô Kô,Krông Pô Kô là một con sông ở phía tây tỉnh Kon Tum. Nó là một phụ lưu cấp 2 của sông Sê San.
Kon Tum,Sông Re,"Sông Re, còn viết là Sông Rhe, là phụ lưu cấp 1 của sông Trà Khúc, chảy ở tỉnh Kon Tum và Quảng Ngãi, Việt Nam."
Kon Tum,Sông Sa Thầy,"Sông Sa Thầy, tên khác: Ia H'Drai, là một phụ lưu bờ phải của sông Sê San. Sông Sa Thầy chảy qua các huyện Ngọc Hồi, Sa Thầy và Ia H'Drai thuộc tỉnh Kon Tum, Việt Nam.."
Kon Tum,Sông Sê San,"Sông Sê San, phía Campuchia gọi là Tonlé San ( tiếng Khmer : ទន្លេសាន ), là một trong các phụ lưu lớn của sông Mekong bắt nguồn từ Bắc và Trung Tây Nguyên của Việt Nam rồi chảy sang lãnh thổ Campuchia và nhập vào sông Mê Kông tại Stung Treng."
Kon Tum,Sông Xà Lò,"Sông Xà Lò, còn viết là Đắk Xà Lò, là phụ lưu cấp 1 của sông Trà Khúc, chảy ở huyện Kon Plong tỉnh Kon Tum và các huyện Sơn Tây, Sơn Hà tỉnh Quảng Ngãi, Việt Nam."
Kon Tum,Sông Thanh,"Sông Thanh, tên khác Sông Đắk Peng, là một con sông đổ ra sông Vu Gia. Sông Thanh chảy qua các tỉnh Kon Tum và Quảng Nam, Việt Nam."
Lai Châu,Nậm Bum,"Nậm Bum là một phụ lưu ở bờ trái sông Đà, chảy ở huyện Mường Tè tỉnh Lai Châu, Việt Nam."
Lai Châu,Nậm Chi,"Nậm Chi là một con sông đổ ra Nậm Mu. Sông có chiều dài 27 km và diện tích lưu vực là 92 km². Nậm Chi chảy qua các tỉnh Sơn La và Lai Châu, Việt Nam."
Lai Châu,Nậm Cộng,"Nậm Cộng là một phụ lưu của Nậm Sỏ, phụ lưu cấp 2 của Nậm Mu trong lưu vực sông Đà."
Lai Châu,Nậm Cấu,"Nậm Cấu là một suối chảy ở huyện Mường Tè tỉnh Lai Châu, Việt Nam.."
Lai Châu,Nậm Chà (sông),"Nậm Chà là một con sông chảy ở huyện Nậm Pồ tỉnh Điện Biên và huyện Nậm Nhùn tỉnh Lai Châu, Việt Nam."
Lai Châu,Nậm Nhé,"Nậm Nhé là một con sông thuộc lưu vực sông Đà, chảy ở huyện Mường Nhé tỉnh Điện Biên và huyện Nậm Nhùn tỉnh Lai Châu, Việt Nam."
Lai Châu,Nậm Củm,"Nậm Củm là một phụ lưu cấp 1 ở bờ trái sông Đà, chảy ở huyện Mường Tè tỉnh Lai Châu, Việt Nam."
Lai Châu,Nậm Cuổi (suối),"Nậm Cuổi hay Suối Cuổi là dòng suối chảy ở huyện Sìn Hồ tỉnh Lai Châu, Việt Nam."
Lai Châu,Nậm Dê,"Nậm Dê hay Nậm Giê là một phụ lưu của Nậm Mu, phụ lưu cấp 2 của sông Đà. Nậm Dê chảy ở huyện Tam Đường tỉnh Lai Châu, Việt Nam."
Lai Châu,Sông Đà,"Sông Đà (còn gọi là sông Bờ hay Đà Giang ) là phụ lưu lớn nhất của sông Hồng. Sông dài 927 km (có tài liệu ghi 983 km hoặc 910 km), diện tích lưu vực là 52.900 km². Dòng chính bắt nguồn từ núi Vô Lượng, tỉnh Vân Nam, Trung Quốc, chảy theo hướng Tây Bắc - Đông Nam để rồi nhập với sông Hồng ở Phú Thọ."
Lai Châu,Nậm Giôn (sông),"Nậm Giôn là một phụ lưu của sông Đà, chảy ở huyện Quỳnh Nhai, tỉnh Sơn La, Việt Nam."
Lai Châu,Huổi Hô,"Huổi Hô là một dòng suối đổ ra Nậm Dê. Huổi Hô chảy ở huyện Tam Đường tỉnh Lai Châu, Việt Nam."
Lai Châu,Nậm Khốt,"Nậm Khốt là một con sông đổ ra Nậm Mó. Sông có chiều dài 11 km và diện tích lưu vực là 34 km². Nậm Khốt chảy qua các tỉnh Yên Bái, Lai Châu."
Lai Châu,Suối Kha Ứ,"Suối Kha Ứ là phụ lưu cấp 1 ở bờ phải sông Đà, chảy ở huyện Mường Tè tỉnh Lai Châu, Việt Nam."
Lai Châu,Nậm Kim,"Nậm Kim là một phụ lưu của Nậm Mu trong hệ thống sông Đà, chảy qua các huyện Mù Cang Chải tỉnh Yên Bái và huyện Than Uyên Lai Châu, Việt Nam."
Lai Châu,Sông Lũng Pô,"Sông Lũng Pô (龙脖河) tên Việt cổ gọi là Long Bồ/Bò (滝𤙭), là phụ lưu cấp 1 của sông Thao, chảy qua các tỉnh Lai Châu và Lào Cai, Việt Nam."
Lai Châu,Nậm Mít,"Nậm Mít là phụ lưu cấp 2 của sông Đà, con sông đổ ra Nậm Mu. Nậm Mít chảy qua các tỉnh Lai Châu và Yên Bái, Việt Nam"
Lai Châu,Nậm Mó,"Nậm Mó, có văn liệu viết là Nậm Mở hay Nậm Mơ, là phụ lưu cấp 1 của Nậm Mu, phụ lưu cấp 2 của sông Đà, Việt Nam."
Lai Châu,Nậm Mo Phí,"Nậm Mo Phí, hay Suối Mo Phí, là một phụ lưu cấp 2 của sông Đà. Nậm Mo Phí chảy qua các tỉnh Lai Châu và Điện Biên, Việt Nam."
Lai Châu,Nậm Mùa,"Nậm Mùa là phụ lưu cấp 2 của sông Đà, một con sông đổ ra Nậm Mu. Nậm Mùa chảy qua các tỉnh Sơn La và Lai Châu, Việt Nam."
Lai Châu,Nậm Mỳ,"Nậm Mỳ là một con sông đổ ra Nậm Ngà, chảy tỉnh Lai Châu và Điện Biên, Việt Nam."
Lai Châu,Nậm Mạ (Lai Châu),"Nậm Mạ là một phụ lưu của sông Đà ở huyện Sìn Hồ tỉnh Lai Châu, Việt Nam."
Lai Châu,Nậm Mu,"Nậm Mu là phụ lưu cấp 1 của Sông Đà, chảy ở các tỉnh Lai Châu và Sơn La, Việt Nam."
Lai Châu,Nậm Ngà,"Nậm Ngà là một con sông đổ ra Nậm Nhé. Sông có chiều dài 38 km và diện tích lưu vực là 206 km². Nậm Ngà chảy qua các tỉnh Lai Châu và Điện Biên, Việt Nam."
Lai Châu,Nậm Nhạt,"Nậm Nhạt là một con sông đổ ra Sông Đà. Nậm Nhạt chảy qua các tỉnh Lai Châu và Điện Biên, Việt Nam."
Lai Châu,Nậm Nhè,"Nậm Nhè là một con sông đổ ra Nậm Nhạt. Sông có chiều dài 96 km và diện tích lưu vực là 1.337 km². Nậm Nhè chảy qua các tỉnh Lai Châu, Điện Biên.."
Lai Châu,Nậm Ta Na,"Nậm Ta Na là một con suối đổ vào dòng nậm Pồ, chảy ở xã Chà Cang huyện Nậm Pồ tỉnh Điện Biên, Việt Nam."
Lai Châu,Nậm Ban (Nậm Nhùn),"Nậm Ban là phụ lưu bờ phải của nậm Na, và là phụ lưu cấp 2 của sông Đà, chảy trong phạm vi xã Nậm Ban huyện Nậm Nhùn tỉnh Lai Châu, Việt Nam."
Lai Châu,Nậm Cúm,"Nậm Cúm là một phụ lưu của Nậm Na, thuộc thủy vực của sông Đà, chảy ở huyện Phong Thổ tỉnh Lai Châu, Việt Nam."
Lai Châu,Nậm Là,"Nậm Là là phụ lưu cấp 1 ở bờ trái sông Đà, chảy ở tỉnh Vân Nam Trung Quốc và ở xã Ka Lăng huyện Mường Tè tỉnh Lai Châu, Việt Nam."
Lai Châu,Nậm Lằn,"Nậm Lằn hay Suối Lằn là phụ lưu cấp 1 của Sông Đà, chảy ở huyện Mường Tè tỉnh Lai Châu, Việt Nam."
